,Date,Open,High,Low,Close,Adj Close,Volume
118,"Jan 23, 2020","1,536.50","1,541.95","1,520.70","1,526.85","1,521.14","5,142,088"
119,"Jan 22, 2020","1,544.00","1,546.75","1,531.10","1,533.35","1,527.61","4,719,245"
120,"Jan 21, 2020","1,528.60","1,545.85","1,522.00","1,533.90","1,528.16","8,650,831"
121,"Jan 20, 2020","1,609.00","1,609.00","1,526.40","1,532.35","1,526.62","14,878,868"
122,"Jan 17, 2020","1,553.50","1,584.95","1,553.20","1,581.00","1,575.09","13,469,708"
123,"Jan 16, 2020","1,529.00","1,543.35","1,528.00","1,537.90","1,532.15","5,873,662"
124,"Jan 15, 2020","1,535.85","1,539.90","1,518.25","1,523.85","1,518.15","7,231,393"
125,"Jan 14, 2020","1,540.00","1,550.00","1,521.85","1,529.40","1,523.68","7,230,788"
126,"Jan 13, 2020","1,545.05","1,558.70","1,538.40","1,543.70","1,537.93","8,358,090"
127,"Jan 10, 2020","1,551.90","1,557.95","1,539.65","1,547.65","1,541.86","5,704,686"
128,"Jan 09, 2020","1,538.60","1,550.00","1,531.25","1,548.00","1,542.21","6,849,606"
129,"Jan 08, 2020","1,515.00","1,534.45","1,510.00","1,513.15","1,507.49","7,336,561"
130,"Jan 07, 2020","1,519.00","1,534.50","1,513.50","1,524.60","1,518.90","7,627,191"
131,"Jan 06, 2020","1,520.00","1,527.90","1,498.00","1,501.50","1,495.88","11,209,343"
132,"Jan 03, 2020","1,533.00","1,541.65","1,523.00","1,537.15","1,531.40","9,593,498"
133,"Jan 02, 2020","1,512.00","1,540.95","1,512.00","1,535.30","1,529.56","8,096,561"
134,"Jan 01, 2020","1,518.00","1,527.10","1,505.50","1,509.60","1,503.95","6,402,372"
135,"Dec 31, 2019","1,542.00","1,543.70","1,508.05","1,514.05","1,508.39","10,150,467"
136,"Dec 30, 2019","1,545.95","1,547.65","1,528.05","1,544.20","1,538.42","7,828,402"
137,"Dec 27, 2019","1,527.00","1,546.20","1,521.30","1,542.35","1,536.58","8,081,591"
138,"Dec 26, 2019","1,541.65","1,552.95","1,510.15","1,515.40","1,509.73","13,605,737"
139,"Dec 24, 2019","1,568.90","1,572.05","1,542.50","1,546.45","1,540.67","8,251,144"
140,"Dec 23, 2019","1,560.10","1,577.55","1,557.80","1,571.40","1,565.52","11,478,429"
141,"Dec 20, 2019","1,615.00","1,617.55","1,596.10","1,599.10","1,593.12","9,724,619"
142,"Dec 19, 2019","1,573.70","1,614.90","1,571.80","1,609.95","1,603.93","9,375,484"
143,"Dec 18, 2019","1,563.00","1,580.00","1,562.00","1,575.85","1,569.96","6,739,582"
144,"Dec 17, 2019","1,566.75","1,579.00","1,555.55","1,562.70","1,556.85","9,291,724"
145,"Dec 16, 2019","1,592.00","1,593.90","1,564.35","1,566.60","1,560.74","5,436,951"
146,"Dec 13, 2019","1,580.00","1,590.00","1,572.40","1,582.90","1,576.98","5,791,522"
147,"Dec 12, 2019","1,570.25","1,573.85","1,556.65","1,568.20","1,562.33","4,720,977"
148,"Dec 11, 2019","1,555.60","1,574.50","1,550.60","1,562.40","1,556.56","5,652,698"
149,"Dec 10, 2019","1,572.05","1,573.60","1,554.15","1,561.95","1,556.11","4,650,906"
150,"Dec 09, 2019","1,556.15","1,577.40","1,546.50","1,572.60","1,566.72","5,779,807"
151,"Dec 06, 2019","1,553.00","1,568.00","1,541.10","1,554.90","1,549.08","5,982,129"
152,"Dec 05, 2019","1,574.00","1,579.75","1,544.00","1,550.85","1,545.05","9,117,022"
153,"Dec 04, 2019","1,573.00","1,577.50","1,533.75","1,552.70","1,546.89","9,594,828"
154,"Dec 03, 2019","1,592.75","1,594.00","1,572.60","1,578.90","1,572.99","5,938,786"
155,"Dec 02, 2019","1,600.00","1,614.45","1,577.00","1,586.50","1,580.57","14,275,186"
156,"Nov 29, 2019","1,581.95","1,581.95","1,547.85","1,551.15","1,545.35","8,484,822"
157,"Nov 28, 2019","1,572.65","1,584.15","1,563.95","1,580.30","1,574.39","6,284,885"
158,"Nov 27, 2019","1,559.95","1,575.50","1,556.10","1,569.85","1,563.98","4,408,336"
159,"Nov 26, 2019","1,568.10","1,576.35","1,556.00","1,560.25","1,554.41","16,152,137"
160,"Nov 25, 2019","1,551.15","1,564.80","1,551.00","1,561.55","1,555.71","6,924,313"
161,"Nov 22, 2019","1,542.10","1,569.50","1,537.60","1,546.50","1,540.71","10,218,978"
162,"Nov 21, 2019","1,545.00","1,556.00","1,528.55","1,537.60","1,531.85","6,810,577"
163,"Nov 20, 2019","1,555.05","1,572.40","1,543.20","1,547.65","1,541.86","19,904,164"
164,"Nov 19, 2019","1,467.00","1,514.90","1,465.00","1,509.75","1,504.10","13,795,569"
165,"Nov 18, 2019","1,472.65","1,486.00","1,455.40","1,459.20","1,453.74","6,435,097"
166,"Nov 15, 2019","1,465.65","1,486.80","1,463.15","1,470.85","1,465.35","7,173,674"
167,"Nov 14, 2019","1,476.00","1,481.60","1,455.80","1,462.75","1,457.28","6,518,339"
168,"Nov 13, 2019","1,430.00","1,475.90","1,430.00","1,472.30","1,466.79","11,532,364"
169,"Nov 11, 2019","1,439.10","1,444.25","1,422.55","1,427.80","1,422.46","5,192,423"
170,"Nov 08, 2019","1,449.00","1,459.65","1,441.30","1,445.50","1,440.09","5,494,844"
171,"Nov 07, 2019","1,435.00","1,463.00","1,432.20","1,458.60","1,453.14","6,438,749"
172,"Nov 06, 2019","1,442.70","1,446.45","1,428.50","1,434.90","1,429.53","6,686,289"
173,"Nov 05, 2019","1,463.10","1,468.95","1,441.00","1,447.30","1,441.89","5,799,318"
174,"Nov 04, 2019","1,465.90","1,471.00","1,445.10","1,457.65","1,452.20","6,429,329"
175,"Nov 01, 2019","1,455.00","1,461.80","1,441.00","1,456.90","1,451.45","6,356,579"
176,"Oct 31, 2019","1,484.00","1,489.65","1,461.70","1,464.35","1,458.87","8,898,168"
177,"Oct 30, 2019","1,480.00","1,484.55","1,460.30","1,479.10","1,473.57","7,470,723"
178,"Oct 29, 2019","1,445.50","1,480.00","1,442.10","1,467.05","1,461.56","11,780,494"
179,"Oct 27, 2019",-,-,-,-,-,-
180,"Oct 25, 2019","1,441.10","1,441.45","1,411.25","1,431.20","1,425.85","6,190,013"
181,"Oct 24, 2019","1,401.00","1,441.40","1,386.55","1,436.45","1,431.08","10,351,384"
182,"Oct 23, 2019","1,416.30","1,425.95","1,383.15","1,392.40","1,387.19","8,432,964"
183,"Oct 22, 2019","1,425.00","1,436.85","1,403.35","1,414.15","1,408.86","12,703,054"
184,"Oct 18, 2019","1,404.00","1,427.90","1,398.70","1,416.35","1,411.05","12,856,410"
185,"Oct 17, 2019","1,375.00","1,399.00","1,372.00","1,396.50","1,391.28","7,332,464"
186,"Oct 16, 2019","1,369.90","1,379.65","1,363.70","1,372.35","1,367.22","8,870,701"
187,"Oct 15, 2019","1,362.50","1,370.00","1,354.30","1,364.15","1,359.05","4,422,075"
188,"Oct 14, 2019","1,364.95","1,364.95","1,350.85","1,358.00","1,352.92","6,123,412"
189,"Oct 11, 2019","1,363.70","1,365.60","1,336.55","1,352.60","1,347.54","7,587,648"
190,"Oct 10, 2019","1,325.00","1,369.00","1,321.00","1,362.75","1,357.65","16,003,744"
191,"Oct 09, 2019","1,308.70","1,329.95","1,292.50","1,324.75","1,319.79","8,040,938"
192,"Oct 07, 2019","1,308.10","1,320.80","1,301.70","1,310.10","1,305.20","4,599,818"
193,"Oct 04, 2019","1,319.90","1,328.60","1,303.85","1,308.10","1,303.21","6,853,954"
194,"Oct 03, 2019","1,286.00","1,314.70","1,281.30","1,311.05","1,306.15","6,183,107"
195,"Oct 01, 2019","1,337.00","1,342.00","1,293.30","1,304.90","1,300.02","8,192,597"
196,"Sep 30, 2019","1,310.00","1,335.75","1,305.55","1,332.25","1,327.27","11,549,746"
197,"Sep 27, 2019","1,292.50","1,315.00","1,284.00","1,309.05","1,304.15","8,712,980"
198,"Sep 26, 2019","1,292.00","1,298.80","1,283.50","1,296.80","1,291.95","8,389,212"
199,"Sep 25, 2019","1,284.00","1,295.00","1,268.85","1,279.55","1,274.76","8,316,894"
200,"Sep 24, 2019","1,243.60","1,298.80","1,242.75","1,278.70","1,273.92","15,982,067"
201,"Sep 23, 2019","1,274.15","1,281.00","1,235.00","1,239.20","1,234.56","9,879,751"
202,"Sep 20, 2019","1,187.95","1,269.90","1,174.30","1,254.35","1,249.66","22,019,674"
203,"Sep 19, 2019","1,207.85","1,209.70","1,172.65","1,179.05","1,174.64","6,293,454"
204,"Sep 18, 2019","1,204.95","1,216.30","1,197.20","1,205.70","1,201.19","6,827,281"
205,"Sep 17, 2019","1,211.00","1,211.00","1,193.50","1,197.45","1,192.97","7,150,435"
206,"Sep 16, 2019","1,189.00","1,219.10","1,186.10","1,210.75","1,206.22","9,393,731"
207,"Sep 13, 2019","1,212.00","1,228.50","1,206.90","1,225.60","1,221.02","5,919,260"
208,"Sep 12, 2019","1,235.00","1,240.45","1,205.70","1,210.35","1,205.82","5,431,139"
209,"Sep 11, 2019","1,222.50","1,240.00","1,222.50","1,234.40","1,229.78","5,544,468"
210,"Sep 09, 2019","1,220.65","1,233.00","1,213.15","1,222.20","1,217.63","5,370,758"
211,"Sep 06, 2019","1,203.00","1,229.00","1,195.25","1,222.50","1,217.93","10,600,234"
212,"Sep 05, 2019","1,206.80","1,213.20","1,193.30","1,198.60","1,194.12","10,512,763"
213,"Sep 04, 2019","1,200.55","1,205.25","1,186.05","1,201.15","1,196.66","15,063,355"
214,"Sep 03, 2019","1,242.25","1,243.00","1,200.00","1,206.40","1,201.89","8,563,009"
215,"Aug 30, 2019","1,245.50","1,254.40","1,221.00","1,248.55","1,243.88","11,308,120"
216,"Aug 29, 2019","1,256.45","1,260.25","1,235.30","1,241.75","1,237.10","8,635,974"
217,"Aug 28, 2019","1,273.75","1,281.00","1,256.05","1,263.30","1,258.57","5,305,639"
218,"Aug 27, 2019","1,285.00","1,285.00","1,261.20","1,274.85","1,270.08","12,984,396"
219,"Aug 26, 2019","1,294.00","1,294.00","1,259.00","1,266.80","1,262.06","8,778,739"
220,"Aug 23, 2019","1,239.00","1,284.00","1,226.50","1,275.85","1,271.08","9,741,262"
221,"Aug 22, 2019","1,270.95","1,271.00","1,238.90","1,246.75","1,242.09","6,414,937"
222,"Aug 21, 2019","1,275.65","1,278.65","1,266.50","1,270.95","1,266.20","4,881,553"
223,"Aug 20, 2019","1,289.80","1,292.60","1,272.60","1,275.95","1,271.18","6,843,460"
224,"Aug 19, 2019","1,281.05","1,296.80","1,280.00","1,292.60","1,287.76","7,459,859"
225,"Aug 16, 2019","1,291.20","1,291.80","1,273.00","1,278.00","1,273.22","10,047,496"
226,"Aug 14, 2019","1,304.00","1,304.45","1,280.35","1,288.25","1,283.43","14,487,137"
227,"Aug 13, 2019","1,233.15","1,302.80","1,226.00","1,274.75","1,269.98","47,923,444"
228,"Aug 09, 2019","1,161.85","1,175.50","1,152.30","1,162.10","1,157.75","10,043,949"
229,"Aug 08, 2019","1,108.35","1,158.00","1,095.30","1,152.35","1,148.04","14,262,936"
230,"Aug 07, 2019","1,126.50","1,138.55","1,103.10","1,109.40","1,105.25","11,588,879"
231,"Aug 06, 2019","1,134.75","1,149.60","1,122.00","1,128.30","1,124.08","13,288,909"
232,"Aug 05, 2019","1,167.00","1,167.00","1,128.00","1,143.35","1,139.07","13,897,461"
233,"Aug 02, 2019","1,175.70","1,198.25","1,162.10","1,184.35","1,179.92","10,865,385"
234,"Aug 02, 2019",6.43896 Dividend,,,,,
235,"Aug 01, 2019","1,163.40","1,188.20","1,150.35","1,180.25","1,169.42","10,344,862"
236,"Jul 31, 2019","1,175.75","1,185.00","1,162.40","1,166.25","1,155.55","9,705,619"
237,"Jul 30, 2019","1,213.95","1,220.00","1,175.95","1,180.90","1,170.06","9,533,344"
238,"Jul 29, 2019","1,216.90","1,222.00","1,205.10","1,210.95","1,199.84","8,058,035"
239,"Jul 26, 2019","1,231.50","1,242.50","1,210.00","1,213.80","1,202.66","9,320,481"
240,"Jul 25, 2019","1,264.00","1,269.05","1,227.00","1,231.50","1,220.20","9,968,545"
241,"Jul 24, 2019","1,273.50","1,278.80","1,253.55","1,259.10","1,247.55","6,943,982"
242,"Jul 23, 2019","1,285.00","1,293.90","1,260.40","1,273.55","1,261.86","9,287,951"
243,"Jul 22, 2019","1,251.00","1,284.50","1,227.30","1,280.50","1,268.75","13,300,153"
244,"Jul 19, 2019","1,268.20","1,272.95","1,242.70","1,249.00","1,237.54","7,468,515"
245,"Jul 18, 2019","1,282.00","1,286.40","1,258.00","1,261.85","1,250.27","5,459,896"
246,"Jul 17, 2019","1,294.30","1,297.00","1,280.00","1,281.85","1,270.09","4,334,958"
247,"Jul 16, 2019","1,279.95","1,294.90","1,277.05","1,293.00","1,281.14","4,604,019"
248,"Jul 15, 2019","1,285.00","1,289.50","1,270.35","1,276.10","1,264.39","4,873,164"
249,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,,,,,,
